Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Patient sharing and population genetic structure of methicillin-resistant Staphylococcus aureus.,Ke W; Huang SS; Hudson LO; Elkins KR; Nguyen CC; Spratt BG; Murphy CR; Avery TR; Lipsitch M,"Rates of hospital-acquired infections, specifically methicillin-resistant Staphylococcus aureus (MRSA), are increasingly being used as indicators for quality of hospital hygiene. There has been much effort on understanding the transmission process at the hospital level; however, interhospital population-based transmission remains poorly defined. We evaluated whether the proportion of shared patients between hospitals was correlated with genetic similarity of MRSA strains from those hospitals. Using data collected from 30 of 32 hospitals in Orange County, California, multivariate linear regression showed that for each twofold increase in the proportion of patients shared between 2 hospitals, there was a 7.7% reduction in genetic heterogeneity between the hospitals' MRSA populations (permutation P value = 0.0356). Pairs of hospitals that both served adults had more similar MRSA populations than pairs including a pediatric hospital. These findings suggest that concerted efforts among hospitals that share large numbers of patients may be synergistic to prevent MRSA transmission.",2012,Apr,Proc Natl Acad Sci U S A,109,17,6763-8,,10.1073/pnas.1113578109,22431601,#138,Ke 2012,"",""
Long-term care facilities: important participants of the acute care facility social network?,Lee BY; Song Y; Bartsch SM; Kim DS; Singh A; Avery TR; Brown ST; Yilmaz SL; Wong KF; Potter MA; Burke DS; Platt R; Huang SS,"BACKGROUND: Acute care facilities are connected via patient sharing, forming a network. However, patient sharing extends beyond this immediate network to include sharing with long-term care facilities. The extent of long-term care facility patient sharing on the acute care facility network is unknown. The objective of this study was to characterize and determine the extent and pattern of patient transfers to, from, and between long-term care facilities on the network of acute care facilities in a large metropolitan county. METHODS/PRINCIPAL FINDINGS: We applied social network constructs principles, measures, and frameworks to all 2007 annual adult and pediatric patient transfers among the healthcare facilities in Orange County, California, using data from surveys and several datasets. We evaluated general network and centrality measures as well as individual ego measures and further constructed sociograms. Our results show that over the course of a year, 66 of 72 long-term care facilities directly sent and 67 directly received patients from other long-term care facilities. Long-term care facilities added 1,524 ties between the acute care facilities when ties represented at least one patient transfer. Geodesic distance did not closely correlate with the geographic distance among facilities. CONCLUSIONS/SIGNIFICANCE: This study demonstrates the extent to which long-term care facilities are connected to the acute care facility patient sharing network. Many long-term care facilities were connected by patient transfers and further added many connections to the acute care facility network. This suggests that policy-makers and health officials should account for patient sharing with and among long-term care facilities as well as those among acute care facilities when evaluating policies and interventions.",2011,,PLoS One,6,12,e29342,,10.1371/journal.pone.0029342,22216255,#145,Lee 2011,"",""
Modeling Regional Transmission and Containment of a Healthcare-associated Multidrug-resistant Organism.,Paul P; Slayton RB; Kallen AJ; Walters MS; Jernigan JA,"BACKGROUND: The Centers for Disease Control and Prevention (CDC) recently published interim guidance for a public health response to contain novel or targeted multidrug-resistant organisms (MDROs). We assessed the impact of implementing the strategy in a US state using a mathematical model. METHODS: We used a deterministic compartmental model, parametrized via a novel analysis of carbapenem-resistant Enterobacteriaceae data reported to the National Healthcare Safety Network and patient transfer data from the Centers for Medicare and Medicaid Services. The simulations assumed that after the importation of the MDRO and its initial detection by clinical culture at an index hospital, fortnightly prevalence surveys for colonization and additional infection control interventions were implemented at the index facility; similar surveys were then also implemented at those facilities known to be connected most strongly to it as measured by patient transfer data; and prevalence surveys were discontinued after 2 consecutive negative surveys. RESULTS: If additional infection-control interventions are assumed to lead to a 20% reduction in transmissibility in intervention facilities, prevalent case count in the state 3 years after importation would be reduced by 76% (interquartile range: 73-77%). During the third year, these additional infection-control measures would be applied in facilities accounting for 42% (37-46%) of inpatient days. CONCLUSIONS: CDC guidance for containing MDROs, when used in combination with information on transfer of patients among hospitals, is predicted to be effective, enabling targeted and efficient use of prevention resources during an outbreak response. Even modestly effective infection-control measures may lead to a substantial reduction in transmission events.",2020,Jan,Clin Infect Dis,70,3,388-394,,10.1093/cid/ciz248,30919885,#148,Paul 2020,"",""
Efficient national surveillance for health-care-associated infections.,van Bunnik BA; Ciccolini M; Gibbons CL; Edwards G; Fitzgerald R; McAdam PR; Ward MJ; Laurenson IF; Woolhouse ME,"BACKGROUND: Detecting novel healthcare-associated infections (HCAI) as early as possible is an important public health priority. However, there is currently no evidence base to guide the design of efficient and reliable surveillance systems. Here we address this issue in the context of a novel pathogen spreading primarily between hospitals through the movement of patients. METHODS: Using a mathematical modelling approach we compare the current surveillance system for a HCAI that spreads primarily between hospitals due to patient movements as it is implemented in Scotland with a gold standard to determine if the current system is maximally efficient or whether it would be beneficial to alter the number and choice of hospitals in which to concentrate surveillance effort. RESULTS: We validated our model by demonstrating that it accurately predicts the risk of meticillin-resistant Staphylococcus aureus bacteraemia cases in Scotland. Using the 29 (out of 182) sentinel hospitals that currently contribute most of the national surveillance effort results in an average detection time of 117 days. A reduction in detection time to 87 days is possible by optimal selection of 29 hospitals. Alternatively, the same detection time (117 days) can be achieved using just 22 optimally selected hospitals. Increasing the number of sentinel hospitals to 38 (teaching and general hospitals) reduces detection time by 43 days; however decreasing the number to seven sentinel hospitals (teaching hospitals) increases detection time substantially to 268 days. CONCLUSIONS: Our results show that the current surveillance system as it is used in Scotland is not optimal in detecting novel pathogens when compared to a gold standard. However, efficiency gains are possible by better choice of sentinel hospitals, or by increasing the number of hospitals involved in surveillance. Similar studies could be used elsewhere to inform the design and implementation of efficient national, hospital-based surveillance systems that achieve rapid detection of novel HCAIs for minimal effort.",2015,Aug,BMC Public Health,15,,832,,10.1186/s12889-015-2172-9,26316148,#151,vanBunnik 2015,"",""
Exploring the networking behaviors of hospital organizations.,Di Vincenzo F,"BACKGROUND: Despite an extensive body of knowledge exists on network outcomes and on how hospital network structures may contribute to the creation of outcomes at different levels of analysis, less attention has been paid to understanding how and why hospital organizational networks evolve and change. The aim of this paper is to study the dynamics of networking behaviors of hospital organizations. METHODS: Stochastic actor-based model for network dynamics was used to quantitatively examine data covering six-years of patient transfer relations among 35 hospital organizations. Specifically, the study investigated about determinants of patient transfer evolution modeling partner selection choice as a combination of multiple organizational attributes and endogenous network-based processes. RESULTS: The results indicate that having overlapping specialties and treating patients with the same case-mix decrease the likelihood of observing network ties between hospitals. Also, results revealed as geographical proximity and membership of the same LHA have a positive impact on the networking behavior of hospitals organizations, there is a propensity in the network to choose larger hospitals as partners, and to transfer patients between hospitals facing similar levels of operational uncertainty. CONCLUSIONS: Organizational attributes (overlapping specialties and case-mix), institutional factors (LHA), and geographical proximity matter in the formation and shaping of hospital networks over time. Managers can benefit from the use of these findings by clearly identifying the role and strategic positioning of their hospital with respect to the entire network. Social network analysis can yield novel information and also aid policy makers in the formation of interventions, encouraging alliances among providers as well as planning health system restructuring.",2018,May,BMC Health Serv Res,18,1,334,,10.1186/s12913-018-3144-4,29739395,#153,DiVincenzo 2018,"",""
Regional transmission patterns of carbapenemase-producing Enterobacterales: A healthcare network analysis.,Tadese BK; Fujimoto K; DeSantis SM; Mgbere O; Darkoh C,"OBJECTIVE: Carbapenem-resistant Enterobacterales (CRE) pose a serious public health threat and spread rapidly between healthcare facilities (HCFs) during interfacility patient movement. We examined patterns of transmission of CRE associated with network clustering and positions during patient interfacility transfer. METHODS: A retrospective cohort study was conducted in the Greater Houston region ofTexas, , and social network analysis was performed by constructing facility-to-facility patient transfer network using CRE surveillance data. The network method (community detection algorithm) was used to detect clustering patterns of CRE in the network. In addition, network measures of centrality and local connectivity (clustering coefficient) were computed for each healthcare facility. Zero-inflated negative binomial regression analysis was applied to test the association between network measures and facility-specific incidence rate of CRE. RESULTS: A network of 268 healthcare facilities was identified, in which 10 acute-care hospitals (ACHs) alone accounted for 63% of identified CRE cases. Transmission of New Delhi metallo-β-lactamase-producing CRE occurred in 3 clusters, yet all cases were traced to patients who had had medical care abroad. The incidence rate of CRE attributed to ACHs was >4-fold (adjusted rate ratio, 4.5; 95% confidence interval [CI], 3.02-6.72) higher than that of long-term care facilities. Each additional patient shared with another HCF conferred a 3% (95% CI, 2%-4%) increase in the incidence rate of CRE at that HCF. CONCLUSIONS: The incidence rates of CRE at a given HCF was predicted by the healthcare network metrics. Increased surveillance and selective targeting of high-risk facilities are warranted.",2023,Mar,Infect Control Hosp Epidemiol,44,3,453-459,,10.1017/ice.2022.102,35450553,#159,Tadese 2023,"",""
Quantifying interhospital patient sharing as a mechanism for infectious disease spread.,Huang SS; Avery TR; Song Y; Elkins KR; Nguyen CC; Nutter SK; Nafday AA; Condon CJ; Chang MT; Chrest D; Boos J; Bobashev G; Wheaton W; Frank SA; Platt R; Lipsitch M; Bush RM; Eubank S; Burke DS; Lee BY,"BACKGROUND: Assessments of infectious disease spread in hospitals seldom account for interfacility patient sharing. This is particularly important for pathogens with prolonged incubation periods or carrier states. METHODS: We quantified patient sharing among all 32 hospitals in Orange County (OC), California, using hospital discharge data. Same-day transfers between hospitals were considered ""direct"" transfers, and events in which patients were shared between hospitals after an intervening stay at home or elsewhere were considered ""indirect"" patient-sharing events. We assessed the frequency of readmissions to another OC hospital within various time points from discharge and examined interhospital sharing of patients with Clostridium difficile infection. RESULTS: In 2005, OC hospitals had 319,918 admissions. Twenty-nine percent of patients were admitted at least twice, with a median interval between discharge and readmission of 53 days. Of the patients with 2 or more admissions, 75% were admitted to more than 1 hospital. Ninety-four percent of interhospital patient sharing occurred indirectly. When we used 10 shared patients as a measure of potential interhospital exposure, 6 (19%) of 32 hospitals ""exposed"" more than 50% of all OC hospitals within 6 months, and 17 (53%) exposed more than 50% within 12 months. Hospitals shared 1 or more patient with a median of 28 other hospitals. When we evaluated patients with C. difficile infection, 25% were readmitted within 12 weeks; 41% were readmitted to different hospitals, and less than 30% of these readmissions were direct transfers. CONCLUSIONS: In a large metropolitan county, interhospital patient sharing was a potential avenue for transmission of infectious agents. Indirect sharing with an intervening stay at home or elsewhere composed the bulk of potential exposures and occurred unbeknownst to hospitals.",2010,Nov,Infect Control Hosp Epidemiol,31,11,1160-9,,10.1086/656747,20874503,#160,Huang 2010,"",""
Estimating the Attributable Disease Burden and Effects of Interhospital Patient Sharing on Clostridium difficile Infections.,Sewell DK; Simmering JE; Justice S; Pemmaraju SV; Segre AM; Polgreen PM,"OBJECTIVE: To estimate the burden of Clostridium difficile infections (CDIs) due to interfacility patient sharing at regional and hospital levels. DESIGN: Retrospective observational study. METHODS: We used data from the Healthcare Cost and Utilization Project California State Inpatient Database (2005-2011) to identify 26,878,498 admissions and 532,925 patient transfers. We constructed a weighted, directed network among the hospitals by defining an edge between 2 hospitals to be the monthly average number of patients discharged from one hospital and admitted to another on the same day. We then used a network autocorrelation model to study the effect of the patient sharing network on the monthly average number of CDI cases per hospital, and we estimated the proportion of CDI cases attributable to the network. RESULTS: We found that 13% (95% confidence interval [CI], 7.6%-18%) of CDI cases were due to diffusion through the patient-sharing network. The network autocorrelation parameter was estimated at 5.0 (95% CI, 3.0-6.9). An increase in the number of patients transferred into and/or an increased CDI rate at the hospitals from which those patients originated led to an increase in the number of CDIs in the receiving hospital. CONCLUSIONS: A minority but substantial burden of CDI infections are attributable to hospital transfers. A hospital's infection control may thus be nontrivially influenced by its neighboring hospitals. This work adds to the growing body of evidence that intervention strategies designed to minimize HAIs should be done at the regional rather than local level.",2019,Jun,Infect Control Hosp Epidemiol,40,6,656-661,,10.1017/ice.2019.73,30975242,#165,Sewell 2019,"",""
Network analysis of patient flow in two UK acute care hospitals identifies key sub-networks for A&E performance.,Bean DM; Stringer C; Beeknoo N; Teo J; Dobson RJB,"The topology of the patient flow network in a hospital is complex, comprising hundreds of overlapping patient journeys, and is a determinant of operational efficiency. To understand the network architecture of patient flow, we performed a data-driven network analysis of patient flow through two acute hospital sites of King's College Hospital NHS Foundation Trust. Administration databases were queried for all intra-hospital patient transfers in an 18-month period and modelled as a dynamic weighted directed graph. A 'core' subnetwork containing only 13-17% of all edges channelled 83-90% of the patient flow, while an 'ephemeral' network constituted the remainder. Unsupervised cluster analysis and differential network analysis identified sub-networks where traffic is most associated with A&E performance. Increased flow to clinical decision units was associated with the best A&E performance in both sites. The component analysis also detected a weekend effect on patient transfers which was not associated with performance. We have performed the first data-driven hypothesis-free analysis of patient flow which can enhance understanding of whole healthcare systems. Such analysis can drive transformation in healthcare as it has in industries such as manufacturing.",2017,,PLoS One,12,10,e0185912,,10.1371/journal.pone.0185912,28968472,#177,Bean 2017,"",""
Patient referral patterns and the spread of hospital-acquired infections through national health care networks.,Donker T; Wallinga J; Grundmann H,"Rates of hospital-acquired infections, such as methicillin-resistant Staphylococcus aureus (MRSA), are increasingly used as quality indicators for hospital hygiene. Alternatively, these rates may vary between hospitals, because hospitals differ in admission and referral of potentially colonized patients. We assessed if different referral patterns between hospitals in health care networks can influence rates of hospital-acquired infections like MRSA. We used the Dutch medical registration of 2004 to measure the connectedness between hospitals. This allowed us to reconstruct the network of hospitals in the Netherlands. We used mathematical models to assess the effect of different patient referral patterns on the potential spread of hospital-acquired infections between hospitals, and between categories of hospitals (University medical centers, top clinical hospitals and general hospitals). University hospitals have a higher number of shared patients than teaching or general hospitals, and are therefore more likely to be among the first to receive colonized patients. Moreover, as the network is directional towards university hospitals, they have a higher prevalence, even when infection control measures are equally effective in all hospitals. Patient referral patterns have a profound effect on the spread of health care-associated infections like hospital-acquired MRSA. The MRSA prevalence therefore differs between hospitals with the position of each hospital within the health care network. Any comparison of MRSA rates between hospitals, as a benchmark for hospital hygiene, should therefore take the position of a hospital within the network into account.",2010,Mar,PLoS Comput Biol,6,3,e1000715,,10.1371/journal.pcbi.1000715,20333236,#178,Donker 2010,"",""
"Effects of patient-level risk factors, departmental allocation and seasonality on intrahospital patient transfer patterns: network analysis applied on a Norwegian single-centre data set.",Zhang C; Eken T; Jørgensen SB; Thoresen M; Søvik S,"OBJECTIVES: Describe patient transfer patterns within a large Norwegian hospital. Identify risk factors associated with a high number of transfers. Develop methods to monitor intrahospital patient flows to support capacity management and infection control. DESIGN: Retrospective observational study of linked clinical data from electronic health records. SETTING: Tertiary care university hospital in the Greater Oslo Region, Norway. PARTICIPANTS: All adult (≥18 years old) admissions to the gastroenterology, gastrointestinal surgery, neurology and orthopaedics departments at Akershus University Hospital, June 2018 to May 2019. METHODS: Network analysis and graph theory. Poisson regression analysis. OUTCOME MEASURES: Primary outcome was network characteristics at the departmental level. We describe location-to-location transfers using unweighted, undirected networks for a full-year study period. Weekly networks reveal changes in network size, density and key categories of transfers over time. Secondary outcome was transfer trajectories at the individual patient level. We describe the distribution of transfer trajectories in the cohort and associate number of transfers with patient clinical characteristics. RESULTS: The cohort comprised 17 198 hospital stays. Network analysis demonstrated marked heterogeneity across departments and throughout the year. The orthopaedics department had the largest transfer network size and density and greatest temporal variation. More transfers occurred during weekdays than weekends. Summer holiday affected transfers of different types (Emergency department-Any location/Bed ward-Bed ward/To-From Technical wards) differently. Over 75% of transferred patients followed one of 20 common intrahospital trajectories, involving one to three transfers. Higher number of intrahospital transfers was associated with emergency admission (transfer rate ratio (RR)=1.827), non-prophylactic antibiotics (RR=1.108), surgical procedure (RR=2.939) and stay in intensive care unit or high-dependency unit (RR=2.098). Additionally, gastrosurgical (RR=1.211), orthopaedic (RR=1.295) and neurological (RR=1.114) patients had higher risk of many transfers than gastroenterology patients (all effects: p<0.001). CONCLUSIONS: Network and transfer chain analysis applied on patient location data revealed logistic and clinical associations highly relevant for hospital capacity management and infection control.",2022,Mar,BMJ Open,12,3,e054545,,10.1136/bmjopen-2021-054545,35351711,#193,Zhang 2022,"",""
Spread of hospital-acquired infections: A comparison of healthcare networks.,Nekkab N; Astagneau P; Temime L; Crépey P,"Hospital-acquired infections (HAIs), including emerging multi-drug resistant organisms, threaten healthcare systems worldwide. Efficient containment measures of HAIs must mobilize the entire healthcare network. Thus, to best understand how to reduce the potential scale of HAI epidemic spread, we explore patient transfer patterns in the French healthcare system. Using an exhaustive database of all hospital discharge summaries in France in 2014, we construct and analyze three patient networks based on the following: transfers of patients with HAI (HAI-specific network); patients with suspected HAI (suspected-HAI network); and all patients (general network). All three networks have heterogeneous patient flow and demonstrate small-world and scale-free characteristics. Patient populations that comprise these networks are also heterogeneous in their movement patterns. Ranking of hospitals by centrality measures and comparing community clustering using community detection algorithms shows that despite the differences in patient population, the HAI-specific and suspected-HAI networks rely on the same underlying structure as that of the general network. As a result, the general network may be more reliable in studying potential spread of HAIs. Finally, we identify transfer patterns at both the French regional and departmental (county) levels that are important in the identification of key hospital centers, patient flow trajectories, and regional clusters that may serve as a basis for novel wide-scale infection control strategies.",2017,Aug,PLoS Comput Biol,13,8,e1005666,,10.1371/journal.pcbi.1005666,28837555,#211,Nekkab 2017,"",""
The effect of re-directed patient flow in combination with targeted infection control measures on the spread of multi-drug-resistant Enterobacteriaceae in the German health-care system: a mathematical modelling approach.,Piotrowska MJ; Sakowski K; Horn J; Mikolajczyk R; Karch A,"OBJECTIVE: The introduction of multi-drug-resistant Enterobacteriaceae (MDR-E) by colonized patients transferred from high-prevalence countries has led to several large outbreaks of MDR-E in low-prevalence countries, with the risk of propagated spread to the community. The goal of this study was to derive a strategy to counteract the spread of MDR-E at the regional health-care network level. METHODS: We used a hybrid ordinary differential equation and network model built based on German health insurance data to evaluate whether the re-direction of patient flow in combination with targeted infection control measures can counteract the spread of MDR-E in the German health-care system. We applied pragmatic re-direction strategies focusing on a reduced choice of hospitals for subsequent stays after initial hospitalization but not manipulating direct transfers because these are most likely determined by medical needs. RESULTS: The re-direction strategies alone did not reduce the system-wide spread of MDR-E (system-wide prevalence of MDR-E is 18.7% vs. 25.7%/29.9%). In contrast, targeted hospital-based infection control measures restricted to institutions with the highest institutional basic reproduction numbers in the network were identified as an effective tool for reducing system-wide prevalence (system-wide prevalence of MDR-E is 18.7% vs. 9.3%). If these measures were applied to the top one-third of hospitals, the system-wide prevalence could be reduced by approximately 80% (system-wide prevalence of 18.7% vs. 3.5% for one-third of patients subjected to interventions). A combination of this hospital-based intervention and patient re-direction strategies could not improve the effectiveness of the hospital-based approach (system-wide prevalence of MDR-E is 9.3% vs. 14.2%/14.3%). CONCLUSIONS: The pragmatic patient re-direction strategies were not capable of restricting the spread of MDR-E in a simulation of the German health-care system; in contrast, hospital-based interventions focusing on institutions identified based on network transmission patterns seem to be a promising approach for sustainable reduction of the spread of MDR-E through the German population.",2023,Jan,Clin Microbiol Infect,29,1,109.e1-109.e7,,10.1016/j.cmi.2022.08.001,35970445,#216,Piotrowska 2023,"",""
Ischemic Stroke Transfer Patterns in the Northeast United States.,Zachrison KS; Onnela JP; Hernandez A; Reeves MJ; Camargo CA Jr; Cox M; Matsouaka RA; Metlay JP; Goldstein JN; Schwamm LH,"BACKGROUND: Little is known about how hospitals are connected in the transfer of ischemic stroke (IS) patients. We aimed to describe differences in characteristics of transferred versus nontransferred patients and between transferring and receiving hospitals in the Northeastern United States, and to describe changes over time. METHODS: We used Medicare claims data, and a subset linked with the Get with the Guidelines-Stroke registry from 2007 to 2011. Receiving hospitals were those with annual IS volume greater than or equal to 120 and greater than or equal to 15% received as transfers, and transferring hospitals were nonaccepting hospitals that transferred greater than or equal to 15% of their total (ED plus inpatient) IS patient discharges. A transferring-to-receiving hospital connection was identified if greater than or equal to 5 patients per year were shared. ArcGIS 10.3.1 was used for network visualization. RESULTS: Among 177,270 admissions to 402 Northeast hospitals, 6906 (3.9%) patients were transferred. Transferred patients were younger with more severe strokes (78 versus 81 years, P < .001; National Institutes of Health Stroke Severity 7 versus 5, P < .001), and were as likely to receive tissue plasminogen activator as nontransferred (P = .29). From 2007 to 2011, there were more patients transferred (960 [3%] to 1777 [6%], P < .001), and more transferring hospitals (46 [12%] to 91 [24%], P < .001), and receiving hospitals (6 [2%] to 16 [4%], P < .001). Most transferring hospitals were exclusively connected to a single receiving hospital. CONCLUSIONS: From 2007 to 2011, hospitals in the United States Northeast became more connected in the care of IS patients, with increasing patient transfers and hospital connections. Yet most hospitals remained unconnected. Further characterization of this transfer network will be important for understanding and improving regional stroke systems of care.",2019,Feb,J Stroke Cerebrovasc Dis,28,2,295-304,,10.1016/j.jstrokecerebrovasdis.2018.09.048,30389376,#219,Zachrison 2019,"",""
Regional Spread of an Outbreak of Carbapenem-Resistant Enterobacteriaceae Through an Ego Network of Healthcare Facilities.,Ray MJ; Lin MY; Tang AS; Arwady MA; Lavin MA; Runningdeer E; Jovanov D; Trick WE,"BACKGROUND: In 2013, New Delhi metallo-β-lactamase (NDM)-producing Escherichia coli, a type of carbapenem-resistant Enterobacteriaceae uncommon in the United States, was identified in a tertiary care hospital (hospital A) in northeastern Illinois. The outbreak was traced to a contaminated duodenoscope. Patient-sharing patterns can be described through social network analysis and ego networks, which could be used to identify hospitals most likely to accept patients from a hospital with an outbreak. METHODS: Using Illinois' hospital discharge data and the Illinois extensively drug-resistant organism (XDRO) registry, we constructed an ego network around hospital A. We identified which facilities NDM outbreak patients subsequently visited and whether the facilities reported NDM cases. RESULTS: Of the 31 outbreak cases entered into the XDRO registry who visited hospital A, 19 (61%) were subsequently admitted to 13 other hospitals during the following 12 months. Of the 13 hospitals, the majority (n = 9; 69%) were in our defined ego network, and 5 of those 9 hospitals consequently reported at least 1 additional NDM case. Ego network facilities were more likely to identify cases compared to a geographically defined group of facilities (9/22 vs 10/66; P = .01); only 1 reported case fell outside of the ego network. CONCLUSIONS: The outbreak hospital's ego network accurately predicted which hospitals the outbreak patients would visit. Many of these hospitals reported additional NDM cases. Prior knowledge of this ego network could have efficiently focused public health resources on these high-risk facilities.",2018,Jul,Clin Infect Dis,67,3,407-410,,10.1093/cid/ciy084,29415264,#224,Ray 2018,"",""
Assessment of patient flow and optimized use of lean thinking transformation from the perspective of graph theory and spectral graph theory: A case study.,Papp C; Harsanyi S; Gesztelyi R; Emri M; Zsuga J,"BACKGROUND: Hospital re-engineering initiatives aiming to meet the requirement for patient-centered care often face significant barriers. Opportunities from the optimization of patient flow logistics are often overlooked due to the perception that patient transport related services are ancillary. OBJECTIVES: To reorganize patient pathways by optimizing inpatient assignment and outpatient unit relocation. METHODS: Our analysis was conducted in a campus-based hospital hosting 1694 inpatient beds. Patient flow data was used for algorithm-based optimization to minimize the sum of the distances due to visits to outpatient units and visits by consulting physicians. Inpatients were reordered and outpatient units were relocated to minimize transport need. Optimized schemes were analyzed using graph- and spectral graph theory. RESULTS: Both optimizations yielded an altered hospital layout in which the need for patient transfers decreased (over 30% and 23% in terms of total distance and transfer episodes, respectively). The optimized systems gave rise to buildings with greater specialization, higher importance in terms of contributing to the network architecture, greater synchronization and robustness. CONCLUSIONS: The top-down algorithm-based optimization scheme yielded a system in which the need for cross-building patient transfer decreased. We suggest that network analysis may be a useful tool for capacity planning.",2021,,Technol Health Care,29,2,199-211,,10.3233/THC-191782,32568129,#237,Papp 2021,"",""
Integrated genomic and interfacility patient-transfer data reveal the transmission pathways of multidrug-resistant Klebsiella pneumoniae in a regional outbreak.,Snitkin ES; Won S; Pirani A; Lapp Z; Weinstein RA; Lolans K; Hayden MK,"Development of effective strategies to limit the proliferation of multidrug-resistant organisms requires a thorough understanding of how such organisms spread among health care facilities. We sought to uncover the chains of transmission underlying a 2008 U.S. regional outbreak of carbapenem-resistant Klebsiella pneumoniae by performing an integrated analysis of genomic and interfacility patient-transfer data. Genomic analysis yielded a high-resolution transmission network that assigned directionality to regional transmission events and discriminated between intra- and interfacility transmission when epidemiologic data were ambiguous or misleading. Examining the genomic transmission network in the context of interfacility patient transfers (patient-sharing networks) supported the role of patient transfers in driving the outbreak, with genomic analysis revealing that a small subset of patient-transfer events was sufficient to explain regional spread. Further integration of the genomic and patient-sharing networks identified one nursing home as an important bridge facility early in the outbreak-a role that was not apparent from analysis of genomic or patient-transfer data alone. Last, we found that when simulating a real-time regional outbreak, our methodology was able to accurately infer the facility at which patients acquired their infections. This approach has the potential to identify facilities with high rates of intra- or interfacility transmission, data that will be useful for triggering targeted interventions to prevent further spread of multidrug-resistant organisms.",2017,Nov,Sci Transl Med,9,417,,,10.1126/scitranslmed.aan0093,29167391,#239,Snitkin 2017,"",""
Interhospital patient transfers between Ontario's academic and large community hospitals increase the risk of Clostridium difficile infection.,DiDiodato G; McArthur L,"BACKGROUND: The objective of this study is to determine the impact of interhospital patient transfers on the risk of Clostridium difficile infection (CDI). METHODS: The number of interhospital patient transfers and CDI cases for 11 academic and 40 large community hospitals (LCHs) were available from 2010-2015. These data were used to compute a CDI score for each sending facility as a measure of CDI pressure on the receiving facility. This CDI score was included as a variable in a multilevel mixed-effect Poisson regression model of CDI cases. Other covariates included year, CDI testing strategy, antimicrobial stewardship program (ASP), and criteria used for patient isolation. Hospital-specific random effects were estimated for the baseline rate of CDI (intercept) and ASP effect (slope). RESULTS: The CDI score ranged from 0-103, with a mean score ± SD of 20.4 ± 21.8. Every 10-point increase in the CDI score was associated with a 4.5% increase in the incidence of CDI in the receiving academic hospital (95% confidence interval [CI], 0.9-8.5) and 3.6% increase in the receiving LCHs (95% CI, 0.3-7). The random components of the model varied significantly, with a strong negative correlation of -0.85 (95% CI, -0.94 to -0.65). CONCLUSIONS: Our results suggest interhospital patient transfers increase the risk of CDI. ASPs appear to reduce this risk; however, these ASP effects demonstrate significant heterogeneity across hospitals.",2018,Feb,Am J Infect Control,46,2,191-196,,10.1016/j.ajic.2017.08.018,28958443,#240,DiDiodato 2018,"",""
Assessing the role of inter-facility patient transfer in the spread of carbapenemase-producing Enterobacteriaceae: the case of France between 2012 and 2015.,Nekkab N; Crépey P; Astagneau P; Opatowski L; Temime L,"The spread of carbapenemase-producing Enterobacteriaceae (CPE) in healthcare settings is a major public health threat that has been associated with cross-border and local patient transfers between healthcare facilities. Since the impact of transfers on spread may vary, our study aimed to assess the contribution of a patient transfer network on CPE incidence and spread at a countrywide level, with a case study of France from 2012 to 2015. Our results suggest a transition in 2013 from a CPE epidemic sustained by internationally imported episodes to an epidemic sustained by local transmission events through patient transfers. Incident episodes tend to occur within close spatial distance of their potential infector. We also observe an increasing frequency of multiple spreading events, originating from a limited number of regional hubs. Consequently, coordinated prevention and infection control strategies should focus on transfers of carriers of CPE to reduce regional and inter-regional transmission.",2020,Sep,Sci Rep,10,1,14910,,10.1038/s41598-020-71212-6,32913244,#250,Nekkab 2020,"",""
Spread of Carbapenem-Resistant Enterobacteriaceae Among Illinois Healthcare Facilities: The Role of Patient Sharing.,Ray MJ; Lin MY; Weinstein RA; Trick WE,"BACKGROUND: Carbapenem-resistant Enterobacteriaceae (CRE) spread regionally throughout healthcare facilities through patient transfer and cause difficult-to-treat infections. We developed a state-wide patient-sharing matrix and applied social network analyses to determine whether greater connectedness (centrality) to other healthcare facilities and greater patient sharing with long-term acute care hospitals (LTACHs) predicted higher facility CRE rates. METHODS: We combined CRE case information from the Illinois extensively drug-resistant organism registry with measures of centrality calculated from a state-wide hospital discharge dataset to predict facility-level CRE rates, adjusting for hospital size and geographic characteristics. RESULTS: Higher CRE rates were observed among facilities with greater patient sharing, as measured by degree centrality. Each additional hospital connection (unit of degree) conferred a 6% increase in CRE rate in rural facilities (relative risk [RR] = 1.056; 95% confidence interval [CI], 1.030-1.082) and a 3% increase among Chicagoland and non-Chicago urban facilities (RR = 1.027; 95% CI, 1.002-1.052 and RR = 1.025; 95% CI, 1.002-1.048, respectively). Sharing 4 or more patients with LTACHs was associated with higher CRE rates, but this association may have been due to chance (RR = 2.08; 95% CI, .85-5.08; P = .11). CONCLUSIONS: Hospitals with greater connectedness to other hospitals in a statewide patient-sharing network had higher CRE burden. Centrality had a greater effect on CRE rates in rural counties, which do not have LTACHs. Social network analysis likely identifies hospitals at higher risk of CRE exposure, enabling focused clinical and public health interventions.",2016,Oct,Clin Infect Dis,63,7,889-93,,10.1093/cid/ciw461,27486116,#254,Ray 2016,"",""
